Symbol	Scientific Name	Common Name	Fact Sheets	Plant Guides
INMIL	Indigofera miniata var. leptosepala		doc pdf	 
INBI	Intsia bijuga	ifil	 	doc pdf
IPLE	Ipomoea leptophylla	bush morning-glory	 	doc pdf
IPAG	Ipomopsis aggregata	scarlet gilia	 	doc pdf
IRDO	Iris douglasiana	Douglas iris	 	doc pdf
IRFE	Iris fernaldii	Fernald's iris	 	doc pdf
IRMA	Iris macrosiphon	bowltube iris	 	doc pdf
IRMI	Iris missouriensis	Rocky Mountain iris	 	doc pdf
IRPS	Iris pseudacorus	paleyellow iris	 	doc pdf
IRPU	Iris purdyi	Purdy's iris	 	doc pdf
IRVE2	Iris versicolor	harlequin blueflag	doc pdf	 
IRVI	Iris virginica	Virginia iris	 	doc pdf
IVFR	Iva frutescens	Jesuit's bark	doc pdf	 
JUCI	Juglans cinerea	butternut	 	doc pdf
JUMI	Juglans microcarpa	little walnut	doc pdf	doc pdf
JUNI	Juglans nigra	black walnut	doc pdf	doc pdf
JUARL	Juncus arcticus ssp. littoralis	mountain rush	 	doc pdf
JUBA	Juncus balticus		 	doc pdf
JUEF	Juncus effusus	common rush	doc pdf	doc pdf
JULE	Juncus lesueurii	salt rush	 	doc pdf
JURO	Juncus roemerianus	needlegrass rush	doc pdf	doc pdf
JUTE	Juncus tenuis	poverty rush	 	doc pdf
JUTE2	Juncus textilis	basket rush	 	doc pdf
JUCO12	Juniperus conferta	shore juniper	doc pdf	 
JUPI	Juniperus pinchotii	Pinchot's juniper	 	doc pdf
JUSC2	Juniperus scopulorum	Rocky Mountain juniper	doc pdf	doc pdf
JUVI	Juniperus virginiana	eastern redcedar	doc pdf	doc pdf
KOMA	Koeleria macrantha	prairie Junegrass	doc pdf	doc pdf
KRLA2	Krascheninnikovia lanata	winterfat	 	doc pdf
KUST	Kummerowia stipulacea	Korean clover	doc pdf	 
KUST2	Kummerowia striata	Japanese clover	doc pdf	 
LAPU6	Lablab purpureus	hyacinthbean	 	doc pdf
LAIN	Lagerstroemia indica	crapemyrtle	 	doc pdf
LAAM	Lamium amplexicaule	henbit deadnettle	doc pdf	 
LALA	Larix laricina	tamarack	 	doc pdf
LALA4	Lathyrus latifolius	perennial pea	doc pdf	 
LASY	Lathyrus sylvestris	flat pea	doc pdf	 
LEGR	Ledum groenlandicum	bog Labrador tea	 	doc pdf
LEOR	Leersia oryzoides	rice cutgrass	doc pdf	 
LEVI2	Leersia virginica	whitegrass	 	doc pdf
LECU2	Lens culinaris	lentil	 	doc pdf
LEBA	Lepidium barnebyanum	Barneby's pepperweed	 	doc pdf
LEOS	Lepidium ostleri	Ostler's pepperweed	 	doc pdf
LEPA17	Lepidium papilliferum	Idaho pepperweed	 	doc pdf
LEDU	Leptochloa dubia	green sprangletop	doc pdf	 
LEBI2	Lespedeza bicolor	shrub lespedeza	doc pdf	 
LECA8	Lespedeza capitata	roundhead lespedeza	doc pdf	doc pdf
LECU	Lespedeza cuneata	sericea lespedeza	doc pdf	 
LETH4	Lespedeza thunbergii	Thunberg's lespedeza	doc pdf	 
LERU4	Lesquerella rubicundula	tum bladderpod	 	doc pdf
LERE5	Leucaena retusa	littleleaf leadtree	 	doc pdf
LERE7	Lewisia rediviva	bitter root	 	doc pdf
